carat,cut,color,clarity,depth_pctg,table,price,length,width,depth
1.25,Very Good,E,VS2,61.6,57.0,8851,6.9,6.94,4.26
1.01,Good,F,SI2,63.6,59.0,4121,6.34,6.37,4.04
0.39,Ideal,E,VS2,61.4,56.0,796,4.68,4.74,2.89
1.2,Ideal,I,SI1,60.1,56.0,5578,6.9,6.84,4.13
0.34,Ideal,F,VVS2,61.3,56.0,848,4.52,4.56,2.78
0.4,Ideal,H,VS1,61.8,56.0,807,4.74,4.78,2.94
0.33,Ideal,I,IF,62.0,54.0,675,4.46,4.48,2.77
0.38,Premium,E,VS2,60.5,62.0,1112,4.74,4.65,2.84
0.24,Ideal,F,VVS1,62.0,56.0,678,3.99,4.01,2.48
0.7,Premium,D,SI1,58.2,60.0,2705,5.79,5.75,3.36
0.52,Ideal,D,VS2,61.8,56.0,1822,5.15,5.17,3.19
2.01,Premium,I,SI2,62.9,58.0,14444,8.05,8.0,5.05
1.09,Very Good,H,SI2,60.9,57.0,4349,6.64,6.69,4.06
0.52,Ideal,D,SI1,61.8,57.0,1600,5.14,5.19,3.19
0.41,Ideal,F,VS1,62.3,55.0,1076,4.79,4.77,2.98
0.31,Ideal,G,VS1,61.9,55.0,749,4.37,4.36,2.7
0.7,Premium,G,SI1,63.0,56.0,2386,5.68,5.65,3.57
0.43,Premium,F,SI1,62.5,56.0,1016,4.85,4.82,3.02
0.36,Very Good,H,IF,61.6,56.0,865,4.57,4.62,2.83
0.34,Ideal,H,IF,61.7,56.0,863,4.5,4.51,2.78
0.24,Very Good,E,VS2,62.1,58.0,419,4.0,4.02,2.49
1.01,Ideal,H,SI2,61.6,56.0,3501,6.48,6.44,3.98
0.54,Premium,G,SI2,61.4,59.0,1195,5.24,5.21,3.21
1.31,Premium,I,VS2,61.9,59.0,6438,7.02,6.98,4.33
0.26,Ideal,I,VS1,62.1,55.0,434,4.11,4.13,2.56
1.01,Premium,H,SI2,61.9,60.0,4242,6.43,6.4,3.97
0.5,Premium,F,VS2,61.7,60.0,1323,5.06,5.02,3.11
0.47,Ideal,D,VS2,60.3,57.0,1270,5.02,5.07,3.04
0.5,Ideal,G,VVS2,62.2,56.0,1842,5.08,5.11,3.17
0.32,Ideal,E,VS2,62.2,55.0,702,4.37,4.38,2.72
0.93,Very Good,D,SI2,62.6,57.0,4214,6.2,6.26,3.9
2.0,Fair,H,SI1,65.6,58.0,15762,7.92,7.76,5.15
0.75,Very Good,G,VS2,63.4,56.0,2808,5.78,5.74,3.65
0.3,Good,H,SI1,63.9,55.0,540,4.27,4.24,2.72
1.31,Premium,H,VS2,62.5,58.0,7277,6.97,6.94,4.35
0.5,Very Good,H,VS2,62.9,58.0,1337,5.08,5.1,3.2
1.6,Ideal,H,IF,61.5,53.0,16300,7.57,7.69,4.66
0.38,Very Good,H,VVS1,60.0,57.0,975,4.75,4.79,2.86
0.25,Very Good,F,VVS2,62.0,59.0,576,3.99,4.04,2.49
0.93,Very Good,E,SI1,63.1,57.0,4531,6.19,6.17,3.9
1.5,Very Good,E,VS2,62.1,60.0,14256,7.27,7.31,4.53
0.5,Very Good,E,VS1,61.4,55.0,1755,5.09,5.14,3.14
0.3,Ideal,F,SI1,61.4,55.0,550,4.31,4.34,2.65
0.31,Very Good,H,VVS2,62.4,58.0,625,4.28,4.31,2.68
0.81,Ideal,G,SI2,61.7,57.0,2459,5.98,6.01,3.7
0.32,Very Good,E,SI1,63.4,56.0,672,4.34,4.31,2.74
1.01,Good,F,VVS2,61.1,65.0,8956,6.38,6.42,3.91
1.7,Good,G,VS1,63.9,58.0,14787,7.46,7.5,4.78
0.3,Premium,D,VS2,60.7,60.0,911,4.37,4.33,2.64
0.31,Ideal,D,VS2,60.7,57.0,803,4.37,4.4,2.66
0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69
1.0,Ideal,I,SI2,60.9,57.0,3811,6.43,6.47,3.93
0.62,Fair,E,VS1,58.8,67.0,2344,5.66,5.57,3.29
0.7,Good,F,VVS2,63.1,57.0,2940,5.59,5.66,3.55
0.35,Good,E,VS2,57.8,60.0,711,4.64,4.67,2.69
0.31,Premium,G,VS2,62.2,59.0,544,4.3,4.35,2.69
1.02,Good,H,SI2,64.0,57.0,3656,6.41,6.37,4.09
1.52,Premium,J,VS1,62.2,59.0,8580,7.38,7.32,4.57
0.91,Good,G,SI2,63.2,61.0,3340,6.01,6.27,3.88
1.5,Very Good,F,VS2,59.7,56.0,13537,7.42,7.46,4.44
0.3,Ideal,H,VS1,61.4,54.0,526,4.33,4.37,2.67
1.37,Ideal,E,VS2,60.3,54.0,11314,7.26,7.2,4.36
0.51,Ideal,D,SI1,61.9,54.0,1569,5.14,5.2,3.19
0.31,Ideal,D,VS2,62.0,55.0,734,4.33,4.35,2.69
1.06,Ideal,D,VVS2,61.8,56.0,13588,6.49,6.53,4.03
0.51,Ideal,F,VS2,60.6,56.0,1569,5.17,5.19,3.14
1.13,Ideal,E,SI2,62.4,56.0,4303,6.66,6.63,4.15
0.96,Ideal,F,VS1,61.2,56.0,5666,6.38,6.34,3.89
2.1,Very Good,H,SI2,63.3,57.0,13790,8.2,8.08,5.15
2.02,Very Good,J,SI1,63.0,56.0,12267,7.95,8.01,5.03
1.08,Premium,G,SI2,63.0,54.0,4124,6.58,6.54,4.13
1.53,Very Good,H,SI2,61.4,60.0,7991,7.36,7.43,4.54
0.3,Very Good,H,VVS1,61.3,61.0,684,4.26,4.29,2.62
1.16,Ideal,G,SI2,61.6,55.0,5171,6.8,6.78,4.18
0.31,Ideal,E,VVS2,61.0,56.0,1046,4.43,4.39,2.69
1.51,Very Good,I,VS2,63.1,56.0,8223,7.26,7.32,4.6
1.01,Premium,E,VS2,62.0,59.0,6787,6.46,6.44,4.0
0.35,Ideal,D,SI1,60.7,57.0,644,4.53,4.57,2.76
0.54,Ideal,G,VVS2,62.2,55.0,1868,5.22,5.27,3.26
0.41,Very Good,D,VS2,62.1,56.0,738,4.76,4.77,2.96
0.37,Very Good,D,VVS1,62.3,54.0,1108,4.57,4.65,2.87
0.32,Good,G,VS2,56.7,64.0,603,4.52,4.55,2.57
0.3,Fair,E,VVS2,51.0,67.0,945,4.67,4.62,2.37
1.22,Very Good,E,SI1,63.4,56.0,5397,6.79,6.76,4.29
0.4,Good,E,SI2,63.9,57.0,622,4.65,4.71,2.99
0.51,Ideal,E,VS2,62.5,55.0,1781,5.13,5.08,3.19
1.01,Very Good,E,VS2,60.6,59.0,7195,6.43,6.47,3.91
1.25,Very Good,F,SI2,58.0,63.0,5851,7.16,7.06,4.13
0.41,Premium,E,VS1,62.3,59.0,1153,4.76,4.74,2.96
0.51,Ideal,H,VVS1,61.4,55.0,1776,5.13,5.16,3.16
0.7,Good,F,SI1,64.3,63.0,2059,5.58,5.55,3.58
0.34,Premium,I,SI1,60.0,58.0,459,4.51,4.55,2.72
0.74,Very Good,F,SI1,62.9,57.0,2684,5.76,5.79,3.63
0.37,Ideal,F,VS1,61.1,57.0,1041,4.65,4.61,2.83
0.9,Very Good,F,VS2,63.2,59.0,4715,6.08,6.04,3.83
0.5,Ideal,I,VS2,61.6,54.0,1220,5.11,5.14,3.16
0.23,Ideal,G,SI1,62.1,53.0,364,3.93,3.96,2.45
0.41,Ideal,J,VS2,62.2,54.4,637,4.72,4.75,2.95
1.16,Ideal,H,SI1,62.2,54.0,6036,6.72,6.75,4.19
1.28,Ideal,G,I1,61.6,57.0,4509,6.96,6.93,4.28
0.3,Very Good,G,VS1,63.1,58.0,776,4.28,4.24,2.69
2.01,Premium,H,VS2,62.6,58.0,15395,8.03,7.94,5.0
0.58,Ideal,E,SI2,62.4,58.0,1359,5.32,5.35,3.33
1.01,Very Good,G,SI2,62.1,61.0,3966,6.27,6.38,3.93
0.9,Good,E,SI2,59.9,61.0,3660,6.16,6.2,3.7
0.32,Ideal,G,VVS1,60.8,56.0,1080,4.44,4.37,2.68
1.22,Premium,G,VS2,61.8,58.0,8362,6.91,6.84,4.25
1.01,Very Good,D,SI1,62.5,61.0,5832,6.34,6.4,3.98
0.9,Good,H,SI1,57.1,56.0,3726,6.33,6.28,3.6
1.55,Very Good,G,VS2,63.1,57.0,11703,7.36,7.31,4.63
0.7,Fair,H,VS2,64.9,56.0,1981,5.49,5.51,3.57
0.32,Ideal,G,IF,61.2,55.0,918,4.41,4.44,2.71
0.46,Ideal,H,VS1,62.3,53.0,983,4.96,4.99,3.1
0.77,Very Good,E,SI1,63.2,58.0,2873,5.8,5.84,3.68
0.4,Fair,E,VVS2,57.3,60.0,1069,4.84,4.89,2.79
1.0,Premium,F,VS2,61.9,59.0,6521,6.36,6.41,3.95
0.71,Premium,E,SI2,62.2,57.0,2386,5.74,5.68,3.55
1.57,Ideal,I,VS2,61.5,56.0,10093,7.56,7.49,4.63
1.03,Ideal,D,SI1,59.9,57.0,6460,6.61,6.68,3.98
0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49
0.55,Ideal,D,VS1,61.5,56.0,1918,5.26,5.28,3.24
0.3,Ideal,E,VS2,62.3,56.0,844,4.34,4.3,2.69
0.39,Ideal,G,SI2,62.0,55.0,683,4.69,4.73,2.92
0.52,Very Good,E,VS1,58.9,64.0,2092,5.23,5.3,3.1
0.33,Premium,I,VS2,60.6,58.0,463,4.44,4.47,2.7
0.47,Ideal,I,VVS1,61.6,55.0,1365,4.99,5.01,3.08
1.01,Ideal,E,VVS2,62.7,56.0,9735,6.42,6.46,4.04
0.37,Ideal,I,SI1,60.7,60.0,532,4.6,4.62,2.8
1.38,Ideal,F,SI2,62.0,58.0,7767,7.12,7.17,4.43
1.23,Ideal,G,VVS1,59.5,57.0,11469,7.0,6.98,4.16
0.4,Very Good,E,VVS1,62.8,57.0,1333,4.65,4.71,2.94
2.0,Very Good,J,VS2,60.7,59.0,13113,8.12,8.15,4.94
0.91,Fair,F,SI2,64.9,56.0,3210,6.08,6.05,3.94
1.0,Fair,D,SI2,65.6,66.0,3767,6.1,6.01,3.97
0.3,Ideal,D,SI1,61.6,57.0,552,4.28,4.32,2.65
0.32,Ideal,E,VS2,61.8,55.0,900,4.43,4.4,2.73
0.54,Good,E,VS2,63.1,58.0,1637,5.13,5.21,3.26
1.1,Premium,D,SI2,62.4,58.0,4725,6.6,6.57,4.11
0.76,Very Good,G,VS2,62.1,54.0,2990,5.88,5.94,3.67
0.81,Good,G,SI2,59.2,64.0,2474,6.11,6.15,3.63
1.78,Good,G,SI2,63.8,57.0,9071,7.73,7.62,4.9
2.04,Ideal,H,SI2,62.0,56.0,16319,8.18,8.23,5.09
1.0,Good,D,VS1,64.0,58.0,6250,6.27,6.21,3.99
0.5,Ideal,E,SI1,62.8,57.0,1331,5.05,5.08,3.18
1.06,Good,F,VS1,58.5,57.0,7699,6.68,6.73,3.92
0.5,Premium,G,VVS2,60.9,59.0,1935,5.12,5.09,3.11
0.7,Very Good,D,SI1,62.3,58.0,2804,5.69,5.73,3.56
1.01,Very Good,H,SI1,59.3,62.0,4868,6.57,6.55,3.89
1.51,Very Good,I,SI2,62.9,58.0,7139,7.24,7.3,4.57
0.25,Very Good,F,VVS2,60.1,57.0,633,4.1,4.13,2.47
1.53,Premium,J,IF,61.1,58.0,9596,7.45,7.41,4.54
1.0,Premium,H,SI1,62.3,60.0,4788,6.38,6.34,3.96
0.9,Very Good,G,VVS2,62.6,55.0,4668,6.12,6.19,3.85
0.3,Ideal,D,SI1,61.0,56.0,552,4.35,4.37,2.66
0.74,Very Good,G,VVS1,63.2,56.0,3328,5.74,5.72,3.62
0.38,Ideal,F,I1,62.5,57.0,638,4.64,4.61,2.89
0.42,Ideal,G,VVS2,62.1,57.0,1031,4.77,4.8,2.97
0.26,Ideal,F,VS1,60.9,57.0,580,4.13,4.11,2.51
1.27,Ideal,G,VVS1,61.7,56.0,11002,7.03,6.9,4.3
1.06,Very Good,H,SI1,60.2,59.0,4900,6.6,6.55,3.96
0.33,Ideal,I,SI1,62.0,53.5,456,4.46,4.5,2.78
0.31,Ideal,G,IF,61.7,56.0,891,4.34,4.38,2.69
0.33,Ideal,H,VS2,61.0,55.0,539,4.49,4.52,2.75
0.41,Very Good,E,VS1,63.4,55.0,1160,4.7,4.73,2.99
1.2,Very Good,H,SI2,60.7,60.0,4831,6.81,6.89,4.16
1.23,Very Good,E,VVS2,60.4,62.0,11175,6.88,6.93,4.17
0.77,Very Good,E,VS2,60.4,58.0,3911,5.94,6.01,3.61
1.01,Fair,G,VS2,65.1,56.0,5950,6.2,6.15,4.02
1.51,Fair,F,SI2,61.8,66.0,8287,7.18,7.16,4.43
0.3,Ideal,E,VS2,62.4,56.0,844,4.28,4.25,2.66
1.0,Good,E,SI1,64.2,58.0,5061,6.25,6.28,4.02
0.34,Ideal,G,VVS1,61.9,54.0,863,4.49,4.52,2.79
2.04,Premium,I,SI2,59.8,59.0,14605,8.3,8.23,4.94
0.38,Ideal,G,SI2,62.0,55.0,532,4.66,4.69,2.9
0.35,Good,G,SI1,63.4,56.0,522,4.46,4.5,2.84
0.63,Ideal,D,SI1,62.0,56.0,1992,5.55,5.48,3.42
0.4,Ideal,I,IF,62.4,56.0,1050,4.73,4.7,2.94
0.51,Good,E,SI1,63.9,56.0,1443,5.11,5.07,3.25
1.07,Ideal,E,VVS2,61.7,57.0,10288,6.61,6.55,4.06
1.0,Very Good,F,SI1,60.5,60.0,5119,6.38,6.45,3.88
0.38,Ideal,I,VS1,61.5,53.9,703,4.66,4.7,2.89
1.52,Good,G,SI2,63.0,61.0,8280,7.25,7.28,4.58
0.41,Ideal,H,SI1,62.4,53.0,722,4.78,4.81,2.99
0.51,Premium,E,VS2,62.5,59.0,1781,5.11,5.06,3.18
0.3,Premium,G,VVS1,61.7,58.0,789,4.26,4.3,2.64
0.61,Ideal,F,VVS2,62.2,55.0,2634,5.42,5.45,3.38
1.45,Premium,F,VS2,61.1,58.0,11650,7.31,7.23,4.44
0.5,Very Good,G,VS1,62.9,58.0,1569,5.06,5.08,3.19
1.02,Fair,I,SI2,66.2,57.0,3290,6.34,6.26,4.17
1.16,Ideal,G,VS2,62.3,57.0,7203,6.72,6.66,4.17
0.31,Ideal,I,SI1,62.2,56.0,418,4.34,4.37,2.71
1.52,Premium,D,SI2,60.6,62.0,9561,7.42,7.37,4.48
1.01,Very Good,D,SI1,62.8,60.0,5832,6.36,6.42,4.01
0.31,Ideal,D,VVS2,60.9,57.0,777,4.38,4.42,2.68
1.41,Premium,E,VS1,58.8,59.0,12671,7.3,7.26,4.28
1.01,Premium,I,SI2,61.5,62.0,3360,6.41,6.37,3.93
1.2,Premium,H,VS1,61.7,59.0,4838,6.78,6.74,4.17
0.9,Very Good,F,SI2,62.4,59.0,3787,6.1,6.17,3.83
0.7,Very Good,G,SI1,63.6,58.0,2209,5.61,5.65,3.58
1.28,Very Good,H,VS1,61.2,55.0,8645,6.98,7.04,4.29
1.5,Good,H,SI1,64.3,60.0,9946,7.23,7.14,4.62
0.41,Ideal,E,SI2,62.8,57.0,876,4.73,4.7,2.96
1.27,Premium,G,VVS2,61.0,58.0,10389,7.01,6.96,4.26
1.0,Ideal,D,VS2,62.2,54.0,8008,6.45,6.42,4.0
0.9,Ideal,G,SI1,62.2,56.0,3931,6.2,6.14,3.84
1.01,Ideal,F,SI2,61.7,56.0,5154,6.43,6.47,3.98
0.41,Premium,F,VVS2,60.3,58.0,1192,4.83,4.79,2.9
0.34,Ideal,E,IF,62.0,56.0,1163,4.49,4.51,2.79
1.24,Premium,G,VVS2,59.9,60.0,10202,6.98,7.0,4.19
0.4,Premium,F,VS2,62.6,58.0,842,4.68,4.72,2.94
0.8,Premium,J,SI1,60.1,57.0,2227,6.03,5.98,3.61
1.12,Ideal,H,VS2,61.8,55.0,6110,6.64,6.7,4.12
1.16,Premium,H,SI2,58.8,61.0,4157,6.93,6.84,4.05
0.72,Ideal,E,SI1,60.3,55.0,3012,5.85,5.89,3.54
0.72,Ideal,G,VS2,61.9,58.0,2797,5.72,5.75,3.55
1.5,Very Good,F,SI1,63.4,58.0,10962,7.2,7.16,4.55
1.0,Good,D,SI2,63.9,56.0,3634,6.32,6.27,4.02
0.7,Premium,F,I1,63.0,61.0,1040,5.69,5.55,3.54
0.32,Ideal,H,VS2,61.3,56.0,523,4.42,4.45,2.72
1.04,Very Good,E,SI1,62.8,59.0,5689,6.46,6.41,4.04
2.02,Very Good,I,SI2,61.9,60.0,14715,8.12,8.06,5.01
1.06,Ideal,D,VVS2,62.0,57.0,11837,6.52,6.54,4.05
1.51,Premium,G,VS2,58.1,61.0,11746,7.57,7.54,4.39
0.5,Premium,H,VVS1,62.5,58.0,1838,5.1,5.05,3.17
0.31,Very Good,H,VS2,63.2,57.0,628,4.35,4.32,2.74
0.31,Premium,H,VVS2,60.6,60.0,625,4.34,4.38,2.64
0.7,Ideal,D,VVS2,62.0,53.4,4369,5.69,5.72,3.54
1.06,Very Good,E,VVS2,63.4,55.0,9680,6.46,6.51,4.11
1.27,Ideal,J,VS2,61.6,56.1,5606,6.94,7.0,4.29
0.75,Ideal,D,VS2,61.7,55.0,3562,5.85,5.82,3.6
0.53,Premium,D,SI1,60.0,58.0,1631,5.24,5.29,3.16
0.38,Premium,H,VS2,60.9,60.0,700,4.62,4.67,2.83
1.5,Good,E,SI2,63.3,57.0,9281,7.31,7.33,4.63
0.28,Ideal,G,IF,62.4,55.0,650,4.17,4.2,2.61
0.36,Ideal,H,IF,61.3,57.0,1163,4.59,4.61,2.82
1.51,Fair,J,SI2,65.1,59.0,5801,7.13,7.09,4.63
1.61,Ideal,I,SI1,62.7,55.0,9439,7.48,7.54,4.71
0.7,Very Good,E,SI1,60.3,58.0,2239,5.73,5.85,3.49
0.71,Very Good,E,VS1,63.3,56.0,3061,5.64,5.68,3.58
0.5,Ideal,E,VS2,62.8,57.0,1746,5.12,5.04,3.19
0.9,Ideal,F,SI1,61.7,55.0,4269,6.19,6.16,3.81
0.5,Fair,F,I1,67.1,57.0,627,4.92,4.87,3.28
1.0,Good,H,VS2,63.6,61.0,4637,6.21,6.25,3.96
0.72,Ideal,F,VVS2,62.3,57.0,3740,5.72,5.74,3.57
0.3,Ideal,F,VVS1,62.1,55.0,1114,4.32,4.31,2.68
0.71,Good,F,IF,62.1,62.0,3393,5.68,5.79,3.56
1.2,Ideal,D,VS1,61.0,59.0,11053,6.79,6.85,4.16
1.12,Ideal,G,VVS2,62.5,56.0,8592,6.59,6.66,4.14
0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44
0.62,Ideal,I,VVS1,61.1,55.0,2207,5.52,5.57,3.39
0.9,Good,H,SI1,63.2,61.0,3398,6.12,6.03,3.84
0.55,Ideal,G,SI1,60.9,56.0,1421,5.3,5.32,3.24
0.32,Ideal,D,SI2,61.4,56.0,477,4.43,4.46,2.73
1.02,Very Good,E,SI1,62.7,60.0,6397,6.45,6.4,4.03
0.32,Ideal,H,VS2,60.9,56.0,523,4.42,4.44,2.7
2.05,Ideal,H,SI2,60.4,58.0,15857,8.21,8.27,4.98
0.32,Ideal,D,VS2,62.6,55.0,758,4.37,4.39,2.74
0.31,Ideal,E,SI2,59.5,61.0,421,4.42,4.45,2.64
0.7,Good,H,VS2,59.7,57.0,2347,5.75,5.8,3.45
1.01,Premium,F,VVS1,62.8,58.0,9412,6.39,6.35,4.0
1.02,Ideal,G,VVS1,61.5,57.0,8168,6.44,6.47,3.97
1.02,Ideal,F,SI2,61.8,57.0,4746,6.43,6.49,3.99
0.74,Ideal,G,VS1,60.9,55.0,3635,5.84,5.91,3.58
1.15,Ideal,G,SI1,62.0,55.0,6313,6.72,6.76,4.18
0.36,Ideal,D,VS2,62.0,54.0,776,4.6,4.62,2.86
0.52,Premium,D,SI1,59.7,60.0,1399,5.26,5.19,3.12
0.42,Ideal,G,VS2,62.2,56.0,1087,4.82,4.8,2.99
2.01,Premium,G,SI2,59.4,62.0,14939,8.27,8.22,4.9
1.0,Very Good,E,VVS2,61.6,60.0,9139,6.41,6.45,3.96
0.33,Ideal,F,VVS1,61.7,54.0,893,4.46,4.49,2.76
0.41,Premium,F,VS2,61.3,58.0,1107,4.84,4.79,2.95
1.01,Good,E,SI1,63.8,60.0,4256,6.36,6.31,4.04
0.31,Good,D,SI1,63.4,58.0,571,4.32,4.35,2.75
1.57,Very Good,F,SI1,60.3,57.0,11998,7.55,7.6,4.57
2.32,Ideal,H,SI1,62.6,57.0,18080,8.46,8.52,5.32
1.25,Ideal,H,SI1,62.0,58.0,7423,6.86,6.89,4.26
1.01,Very Good,F,SI1,59.7,61.0,4899,6.49,6.55,3.89
1.12,Very Good,G,SI1,59.5,62.0,5088,6.76,6.81,4.04
1.23,Very Good,I,SI1,63.1,56.0,5855,6.91,6.79,4.32
0.52,Very Good,D,SI1,63.8,56.0,1452,5.06,5.1,3.24
1.25,Premium,G,SI1,60.7,58.0,6856,6.97,6.9,4.21
0.32,Ideal,D,VVS2,62.2,56.0,790,4.37,4.41,2.73
0.58,Ideal,G,SI2,62.0,57.0,1134,5.35,5.29,3.3
0.43,Very Good,I,IF,61.0,56.0,998,4.9,4.93,3.0
0.56,Ideal,E,VS1,61.9,57.0,2145,5.31,5.29,3.28
0.9,Very Good,I,SI2,61.3,56.0,2800,6.17,6.23,3.8
0.33,Premium,E,VS2,60.6,58.0,866,4.49,4.45,2.71
0.42,Ideal,G,VVS1,61.7,55.0,1235,4.84,4.78,2.97
0.72,Premium,G,SI2,62.8,61.0,2022,5.68,5.59,3.54
0.3,Ideal,H,VS2,62.4,55.0,491,4.28,4.31,2.68
1.51,Ideal,G,VS1,60.6,57.0,14507,7.48,7.38,4.5
0.3,Ideal,F,SI1,61.2,55.0,609,4.35,4.37,2.67
0.52,Ideal,G,VS2,62.0,55.0,1577,5.19,5.13,3.2
0.42,Ideal,G,IF,62.0,57.0,1251,4.8,4.82,2.98
1.03,Ideal,F,SI2,62.3,56.0,4268,6.51,6.43,4.03
0.71,Good,H,SI1,64.0,61.0,2207,5.61,5.54,3.57
1.0,Good,F,VS2,63.8,58.0,6209,6.32,6.28,4.02
0.3,Very Good,I,VS1,63.4,54.0,608,4.32,4.29,2.73
0.25,Ideal,G,VVS2,62.1,57.0,525,4.01,4.07,2.5
1.04,Premium,E,SI2,59.2,58.0,4484,6.64,6.7,3.95
1.5,Good,J,VS1,64.1,55.0,8467,7.23,7.13,4.6
0.3,Premium,D,SI2,61.8,58.0,574,4.32,4.29,2.66
1.93,Fair,F,VS1,58.9,62.0,17995,8.17,7.97,4.75
1.74,Ideal,I,VS1,61.8,56.0,15189,7.69,7.73,4.77
0.34,Good,G,VVS2,58.0,61.0,826,4.56,4.58,2.65
1.0,Good,E,SI1,63.8,55.0,4474,6.34,6.31,4.03
0.9,Good,F,VS2,62.8,58.0,4778,6.04,6.09,3.81
0.31,Ideal,E,SI1,61.5,55.0,660,4.37,4.41,2.7
0.31,Good,D,SI1,63.5,55.0,571,4.27,4.3,2.72
1.0,Good,G,SI2,57.6,62.0,4113,6.62,6.55,3.79
0.38,Very Good,D,VVS2,60.8,55.0,944,4.67,4.71,2.85
0.71,Premium,I,VS2,60.4,60.0,2300,5.8,5.72,3.48
2.07,Fair,G,I1,67.7,56.0,6503,7.76,7.73,5.25
0.43,Ideal,I,VVS1,61.6,54.0,848,4.88,4.92,3.02
1.42,Ideal,G,VS2,62.6,57.0,10735,7.19,7.15,4.49
0.38,Premium,D,SI2,61.1,58.0,812,4.68,4.62,2.84
0.78,Ideal,I,VS1,60.7,56.0,3105,5.97,6.03,3.64
0.4,Premium,E,VS2,62.2,59.0,975,4.74,4.71,2.94
1.03,Ideal,F,VS2,62.3,56.0,6922,6.52,6.49,4.05
0.7,Ideal,F,SI2,60.6,57.2,2237,5.75,5.77,3.49
0.21,Premium,D,VS2,60.6,60.0,386,3.85,3.81,2.32
0.39,Ideal,F,VS1,62.2,56.0,958,4.63,4.7,2.9
1.71,Ideal,I,VS2,60.5,56.0,11559,7.73,7.71,4.67
1.16,Very Good,F,SI1,63.4,55.0,6301,6.73,6.65,4.24
1.17,Ideal,F,SI1,62.2,56.0,5944,6.73,6.71,4.18
0.31,Very Good,H,VVS1,61.9,57.0,651,4.33,4.36,2.69
1.5,Premium,F,SI2,60.8,59.0,9240,7.3,7.36,4.46
1.01,Premium,F,VS2,59.9,61.0,6097,6.5,6.46,3.88
0.38,Premium,D,VS1,62.4,59.0,1140,4.63,4.6,2.88
0.23,Very Good,D,VS2,60.2,57.0,577,4.02,4.07,2.43
0.74,Ideal,G,VVS1,62.1,56.0,3388,5.78,5.82,3.6
0.92,Good,D,SI2,60.3,61.0,3843,6.29,6.38,3.82
0.26,Premium,E,VVS1,62.9,58.0,769,4.08,4.06,2.56
0.56,Very Good,E,SI1,58.5,59.0,1785,5.42,5.45,3.18
0.9,Very Good,F,SI1,62.6,57.0,3950,6.16,6.2,3.87
0.34,Premium,H,VS2,61.3,60.0,537,4.47,4.53,2.76
1.34,Ideal,J,VS1,62.0,57.0,6010,7.12,7.04,4.39
0.3,Very Good,G,VS1,60.8,61.0,565,4.31,4.34,2.63
2.33,Premium,J,SI1,59.9,59.0,14711,8.7,8.65,5.2
1.53,Premium,J,VVS1,61.6,59.0,9555,7.39,7.35,4.54
0.4,Very Good,F,IF,61.1,57.0,1217,4.73,4.77,2.9
1.05,Ideal,F,SI2,60.9,56.0,4591,6.56,6.64,4.02
0.7,Premium,F,SI1,62.2,59.0,2401,5.69,5.73,3.55
0.6,Premium,D,SI2,61.3,61.0,1428,5.46,5.4,3.33
1.51,Ideal,G,VS1,61.1,57.0,14674,7.41,7.38,4.52
0.3,Premium,D,VS2,62.9,61.0,911,4.29,4.27,2.69
0.74,Very Good,G,VS1,59.8,58.0,2896,5.85,5.89,3.51
1.01,Ideal,E,VS2,61.9,55.0,6787,6.44,6.38,3.97
0.71,Ideal,D,SI1,60.8,57.0,3502,5.75,5.78,3.5
1.51,Good,I,VS1,65.9,56.0,8975,7.02,7.09,4.65
0.51,Ideal,G,VS1,60.9,56.0,1708,5.16,5.19,3.15
0.51,Good,F,SI1,63.6,58.0,1406,5.08,5.05,3.22
0.31,Ideal,D,VS2,62.5,56.0,942,4.36,4.34,2.72
0.41,Premium,E,VVS2,60.9,60.0,1243,4.82,4.81,2.93
1.0,Premium,F,SI1,60.3,61.0,4704,6.43,6.38,3.86
0.32,Premium,G,VS2,62.4,59.0,720,4.36,4.33,2.71
0.43,Very Good,D,SI2,61.1,58.0,716,4.86,4.9,2.98
0.4,Very Good,F,IF,62.9,55.0,1261,4.68,4.7,2.95
0.44,Premium,I,VVS2,61.5,57.0,1063,4.92,4.87,3.01
0.72,Ideal,F,VS1,61.3,56.0,3759,5.74,5.78,3.54
2.01,Very Good,H,SI2,62.9,55.0,14426,8.03,8.09,5.07
1.21,Premium,F,SI2,59.0,60.0,5982,6.94,6.99,4.11
1.3,Good,J,VS2,63.6,59.0,5175,6.87,6.9,4.38
2.2,Ideal,I,SI2,62.2,56.0,14277,8.34,8.29,5.18
1.02,Premium,I,SI1,60.2,60.0,3713,6.45,6.39,3.87
0.5,Ideal,E,SI1,62.2,57.0,1415,5.11,5.05,3.16
0.32,Very Good,F,SI1,62.7,57.0,533,4.37,4.4,2.75
0.3,Very Good,H,SI1,59.4,63.0,540,4.4,4.35,2.6
1.52,Premium,H,SI1,60.1,60.0,10330,7.47,7.45,4.48
1.18,Premium,I,SI2,61.7,58.0,4555,6.75,6.79,4.18
0.95,Premium,I,SI1,60.0,60.0,3878,6.39,6.37,3.83
0.5,Very Good,E,VS2,60.9,58.0,1605,5.14,5.17,3.14
0.32,Premium,G,VS2,61.5,58.0,720,4.4,4.35,2.69
0.9,Very Good,I,SI2,62.5,58.0,3001,6.1,6.15,3.83
